[DEBUG] 2021-03-02 14:45:24.702 [main] logging - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
[DEBUG] 2021-03-02 14:45:24.713 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-03-02 14:45:24.714 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-03-02 14:45:24.718 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-03-02 14:45:24.771 [main] Version - HHH000412: Hibernate ORM core version 5.4.20.Final
[DEBUG] 2021-03-02 14:45:24.773 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-03-02 14:45:25.311 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [null] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-03-02 14:45:25.312 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-03-02 14:45:25.321 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-03-02 14:45:26.001 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [null] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-03-02 14:45:26.001 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-03-02 14:45:26.669 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-03-02 14:45:26.670 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-03-02 14:45:26.670 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[DEBUG] 2021-03-02 14:45:26.719 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-03-02 14:45:26.719 [main] Configuration - Building session factory using provided StandardServiceRegistry
[DEBUG] 2021-03-02 14:45:26.764 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-03-02 14:45:26.766 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-03-02 14:45:26.813 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-03-02 14:45:26.933 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3e5499cc
[DEBUG] 2021-03-02 14:45:26.933 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3e5499cc
[DEBUG] 2021-03-02 14:45:26.934 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@3e5499cc
[DEBUG] 2021-03-02 14:45:26.935 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@30bcf3c1
[DEBUG] 2021-03-02 14:45:26.935 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@5b444398
[DEBUG] 2021-03-02 14:45:26.936 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@a776e
[DEBUG] 2021-03-02 14:45:26.938 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6821ea29
[DEBUG] 2021-03-02 14:45:26.938 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6821ea29
[DEBUG] 2021-03-02 14:45:26.938 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6821ea29
[DEBUG] 2021-03-02 14:45:26.939 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@5af3a0f
[DEBUG] 2021-03-02 14:45:26.939 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@5af3a0f
[DEBUG] 2021-03-02 14:45:26.940 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@5af3a0f
[DEBUG] 2021-03-02 14:45:26.943 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@72cf2de5
[DEBUG] 2021-03-02 14:45:26.943 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@72cf2de5
[DEBUG] 2021-03-02 14:45:26.943 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@72cf2de5
[DEBUG] 2021-03-02 14:45:26.945 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@53812a9b
[DEBUG] 2021-03-02 14:45:26.945 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@53812a9b
[DEBUG] 2021-03-02 14:45:26.945 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@53812a9b
[DEBUG] 2021-03-02 14:45:26.947 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@d8305c2
[DEBUG] 2021-03-02 14:45:26.947 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@d8305c2
[DEBUG] 2021-03-02 14:45:26.947 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@d8305c2
[DEBUG] 2021-03-02 14:45:26.948 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@531c311e
[DEBUG] 2021-03-02 14:45:26.948 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@531c311e
[DEBUG] 2021-03-02 14:45:26.948 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@531c311e
[DEBUG] 2021-03-02 14:45:26.956 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4b672daa
[DEBUG] 2021-03-02 14:45:26.957 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4b672daa
[DEBUG] 2021-03-02 14:45:26.957 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@4b672daa
[DEBUG] 2021-03-02 14:45:26.962 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@3fffff43
[DEBUG] 2021-03-02 14:45:26.962 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@3fffff43
[DEBUG] 2021-03-02 14:45:26.964 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@2e11485
[DEBUG] 2021-03-02 14:45:26.964 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@2e11485
[DEBUG] 2021-03-02 14:45:26.965 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@27305e6
[DEBUG] 2021-03-02 14:45:26.966 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@27305e6
[DEBUG] 2021-03-02 14:45:26.967 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@6f8f9349
[DEBUG] 2021-03-02 14:45:26.967 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@5c3b6c6e
[DEBUG] 2021-03-02 14:45:26.969 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@12bcd0c0
[DEBUG] 2021-03-02 14:45:26.969 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@12bcd0c0
[DEBUG] 2021-03-02 14:45:26.996 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@4678a2eb
[DEBUG] 2021-03-02 14:45:26.996 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@4678a2eb
[DEBUG] 2021-03-02 14:45:27.061 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@435871cb
[DEBUG] 2021-03-02 14:45:27.061 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@435871cb
[DEBUG] 2021-03-02 14:45:27.064 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@4bef0fe3
[DEBUG] 2021-03-02 14:45:27.064 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@4bef0fe3
[DEBUG] 2021-03-02 14:45:27.067 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@55b5f5d2
[DEBUG] 2021-03-02 14:45:27.067 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@55b5f5d2
[DEBUG] 2021-03-02 14:45:27.070 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@16ecee1
